experiment_name,model_variant,dataset_variant,threshold,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
test2_model_a_on_mutated_data,Model A,mutated_data,0.40,9012,0.7124,0.6442,0.9045,0.7525,38.537,0.6458,0,0.0,9012,3940,2176,416,2480
test2_model_a_on_mutated_data,Model A,mutated_data,0.41,9012,0.7136,0.6455,0.9038,0.7531,38.537,0.6458,0,0.0,9012,3937,2162,419,2494
test2_model_a_on_mutated_data,Model A,mutated_data,0.42,9012,0.714,0.6462,0.9027,0.7532,38.537,0.6458,0,0.0,9012,3932,2153,424,2503
test2_model_a_on_mutated_data,Model A,mutated_data,0.43,9012,0.7146,0.6469,0.902,0.7534,38.537,0.6458,0,0.0,9012,3929,2145,427,2511
test2_model_a_on_mutated_data,Model A,mutated_data,0.44,9012,0.7145,0.6471,0.9004,0.753,38.537,0.6458,0,0.0,9012,3922,2139,434,2517
test2_model_a_on_mutated_data,Model A,mutated_data,0.45,9012,0.715,0.6478,0.8997,0.7532,38.537,0.6458,0,0.0,9012,3919,2131,437,2525
test2_model_a_on_mutated_data,Model A,mutated_data,0.46,9012,0.7158,0.6488,0.8983,0.7534,38.537,0.6458,0,0.0,9012,3913,2118,443,2538
test2_model_a_on_mutated_data,Model A,mutated_data,0.47,9012,0.7162,0.6495,0.8965,0.7533,38.537,0.6458,0,0.0,9012,3905,2107,451,2549
test2_model_a_on_mutated_data,Model A,mutated_data,0.48,9012,0.7167,0.6503,0.8953,0.7534,38.537,0.6458,0,0.0,9012,3900,2097,456,2559
test2_model_a_on_mutated_data,Model A,mutated_data,0.49,9012,0.7176,0.6515,0.8937,0.7537,38.537,0.6458,0,0.0,9012,3893,2082,463,2574
test2_model_a_on_mutated_data,Model A,mutated_data,0.50,9012,0.7182,0.6523,0.8926,0.7538,38.537,0.6458,0,0.0,9012,3888,2072,468,2584
test2_model_a_on_mutated_data,Model A,mutated_data,0.51,9012,0.7196,0.654,0.8916,0.7545,38.537,0.6458,0,0.0,9012,3884,2055,472,2601
test2_model_a_on_mutated_data,Model A,mutated_data,0.52,9012,0.7195,0.6542,0.89,0.7541,38.537,0.6458,0,0.0,9012,3877,2049,479,2607
test2_model_a_on_mutated_data,Model A,mutated_data,0.53,9012,0.721,0.656,0.8891,0.755,38.537,0.6458,0,0.0,9012,3873,2031,483,2625
test2_model_a_on_mutated_data,Model A,mutated_data,0.54,9012,0.722,0.6572,0.8882,0.7554,38.537,0.6458,0,0.0,9012,3869,2018,487,2638
test2_model_a_on_mutated_data,Model A,mutated_data,0.55,9012,0.7231,0.6586,0.8871,0.7559,38.537,0.6458,0,0.0,9012,3864,2003,492,2653
test2_model_a_on_mutated_data,Model A,mutated_data,0.56,9012,0.7231,0.6591,0.885,0.7555,38.537,0.6458,0,0.0,9012,3855,1994,501,2662
test2_model_a_on_mutated_data,Model A,mutated_data,0.57,9012,0.7243,0.6606,0.8834,0.7559,38.537,0.6458,0,0.0,9012,3848,1977,508,2679
test2_model_a_on_mutated_data,Model A,mutated_data,0.58,9012,0.7248,0.6615,0.882,0.756,38.537,0.6458,0,0.0,9012,3842,1966,514,2690
test2_model_a_on_mutated_data,Model A,mutated_data,0.59,9012,0.7261,0.6631,0.8811,0.7567,38.537,0.6458,0,0.0,9012,3838,1950,518,2706
test2_model_a_on_mutated_data,Model A,mutated_data,0.60,9012,0.7269,0.6642,0.8799,0.757,38.537,0.6458,0,0.0,9012,3833,1938,523,2718
test2_model_a_on_mutated_data,Model A,mutated_data,0.61,9012,0.7277,0.6653,0.8788,0.7573,38.537,0.6458,0,0.0,9012,3828,1926,528,2730
test2_model_a_on_mutated_data,Model A,mutated_data,0.62,9012,0.7283,0.6663,0.8772,0.7573,38.537,0.6458,0,0.0,9012,3821,1914,535,2742
test2_model_a_on_mutated_data,Model A,mutated_data,0.63,9012,0.7281,0.6666,0.8756,0.7569,38.537,0.6458,0,0.0,9012,3814,1908,542,2748
test2_model_a_on_mutated_data,Model A,mutated_data,0.64,9012,0.7297,0.6687,0.8737,0.7576,38.537,0.6458,0,0.0,9012,3806,1886,550,2770
test2_model_a_on_mutated_data,Model A,mutated_data,0.65,9012,0.7307,0.6701,0.8724,0.758,38.537,0.6458,0,0.0,9012,3800,1871,556,2785
test2_model_a_on_mutated_data,Model A,mutated_data,0.66,9012,0.7315,0.6714,0.8703,0.758,38.537,0.6458,0,0.0,9012,3791,1855,565,2801
test2_model_a_on_mutated_data,Model A,mutated_data,0.67,9012,0.7321,0.6727,0.8685,0.7581,38.537,0.6458,0,0.0,9012,3783,1841,573,2815
test2_model_a_on_mutated_data,Model A,mutated_data,0.68,9012,0.7329,0.674,0.8666,0.7583,38.537,0.6458,0,0.0,9012,3775,1826,581,2830
test2_model_a_on_mutated_data,Model A,mutated_data,0.69,9012,0.7336,0.6751,0.8652,0.7584,38.537,0.6458,0,0.0,9012,3769,1814,587,2842
test2_model_a_on_mutated_data,Model A,mutated_data,0.70,9012,0.7346,0.6766,0.8636,0.7588,38.537,0.6458,0,0.0,9012,3762,1798,594,2858
